"","year","evangelical","mainline","catholic","blackprot","jewish","otherfaith","nofaith","reltrad","partyid"
"102",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"103",1972,0,1,0,0,0,0,0,2,"Lean Democrat"
"104",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"105",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"106",1972,0,0,0,0,0,0,1,7,"Moderate Democrat"
"107",1972,0,0,0,0,0,1,0,6,"Strong Republican"
"108",1972,0,0,0,0,0,1,0,6,"Lean Democrat"
"109",1972,0,0,0,0,0,1,0,6,"Moderate Democrat"
"110",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"111",1972,1,0,0,0,0,0,0,1,NA
"112",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"113",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"114",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"115",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"116",1972,0,0,0,0,1,0,0,5,"Lean Democrat"
"117",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"118",1972,0,0,0,1,0,0,0,3,"Independent"
"119",1972,0,0,0,1,0,0,0,3,"Strong Republican"
"120",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"121",1972,0,0,0,1,0,0,0,3,"Lean Republican"
"122",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"123",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"124",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"125",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"126",1972,0,0,0,0,0,0,1,7,"Strong Democrat"
"127",1972,0,0,0,0,0,0,1,7,"Moderate Republican"
"128",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"129",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"130",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"131",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"132",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"133",1972,0,0,1,0,0,0,0,4,"Lean Republican"
"134",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"135",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"136",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"137",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"138",1972,1,0,0,0,0,0,0,1,NA
"139",1972,0,0,1,0,0,0,0,4,"Moderate Republican"
"140",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"141",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"142",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"143",1972,0,0,0,0,1,0,0,5,"Independent"
"144",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"145",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"146",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"147",1972,1,0,0,0,0,0,0,1,"Lean Democrat"
"148",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"149",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"150",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"151",1972,0,0,0,0,0,0,1,7,"Independent"
"152",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"153",1972,0,0,1,0,0,0,0,4,"Strong Republican"
"154",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"155",1972,0,1,0,0,0,0,0,2,"Lean Democrat"
"156",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"157",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"158",1972,0,1,0,0,0,0,0,2,"Independent"
"159",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"160",1972,0,0,0,0,0,0,0,NA,"Lean Democrat"
"161",1972,0,1,0,0,0,0,0,2,"Lean Republican"
"162",1972,1,0,0,0,0,0,0,1,"Lean Republican"
"163",1972,1,0,0,0,0,0,0,1,"Independent"
"164",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"165",1972,0,0,0,0,0,0,1,7,"Lean Democrat"
"166",1972,0,0,0,0,0,0,1,7,"Independent"
"167",1972,0,1,0,0,0,0,0,2,"Independent"
"168",1972,0,0,0,0,0,0,1,7,"Independent"
"169",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"170",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"171",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"172",1972,0,0,0,0,0,0,1,7,"Independent"
"173",1972,0,0,0,0,0,0,1,7,NA
"174",1972,0,0,1,0,0,0,0,4,"Moderate Republican"
"175",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"176",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"177",1972,1,0,0,0,0,0,0,1,"Lean Republican"
"178",1972,0,0,0,0,0,0,1,7,NA
"179",1972,0,0,0,0,0,0,1,7,"Lean Democrat"
"180",1972,0,1,0,0,0,0,0,2,"Lean Democrat"
"181",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"182",1972,0,0,0,1,0,0,0,3,"Lean Democrat"
"183",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"184",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"185",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"186",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"187",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"188",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"189",1972,0,1,0,0,0,0,0,2,"Lean Republican"
"190",1972,0,0,1,0,0,0,0,4,"Independent"
"191",1972,0,1,0,0,0,0,0,2,"Lean Republican"
"192",1972,0,1,0,0,0,0,0,2,"Lean Republican"
