"","reltrad","year","mean"
"1",1,2016,3.53512705530643
"2",2,2016,3.09634551495017
"3",3,2016,1.415
"4",4,2016,2.65683229813665
"5",5,2016,1.92156862745098
"6",6,2016,2.42168674698795
"7",7,2016,2.39870340356564
"8",NaN,2016,3.02673796791444
